Industry,Sector,Firm,Number of Reviews,Overall employer rating,Culture & values,Diversity & Inclusion,Work/Life balance,Senior Management,Compensation & Benefits ,Career Opportunities ,Female / Male
Specialty Retailers,Retailing,Best Buy,25000,3.80,3.70,4.10,3.40,3.30,3.60,3.40,1
Specialty Retailers,Retailing,TJX,2900,3.80,3.80,4.00,3.50,3.40,3.30,3.60,1
Specialty Retailers,Retailing,Dollar General,8000,2.90,2.80,3.40,2.50,2.60,2.70,3.20,1
General Merchandisers,Retailing,Macy’s,22000,3.40,3.30,3.80,3.30,3.00,3.00,3.10,1
Specialty Retailers: Other,Retailing,Dollar Tree,4700,3.20,2.90,3.50,3.00,2.90,2.50,3.00,1
Specialty Retailers,Retailing,Penske Automotive Group,450,4.40,4.40,4.70,4.20,4.20,4.40,4.40,1
Specialty Retailers,Retailing,AutoNation,1300,3.40,3.20,3.50,2.90,3.10,3.30,3.40,1
General Merchandisers,Retailing,Kohl’s,13000,3.60,3.70,4.00,3.50,3.30,3.10,3.20,0
"Automotive Retailing, Services",Retailing,CarMax,3900,3.70,3.90,4.10,3.30,3.30,3.50,3.60,1
Specialty Retailers: Apparel,Retailing,Gap,6700,3.70,3.80,4.10,3.50,3.30,3.30,3.30,1
Specialty Retailers: Apparel,Retailing,Ross Stores,6200,3.40,3.30,3.80,3.20,3.00,3.10,3.20,0
General Merchandisers,Retailing,Nordstrom,17000,3.70,3.80,4.00,3.30,3.20,3.60,3.40,1
Internet Services and Retailing,Retailing,Qurate Retail,33,3.50,4.00,4.30,4.00,3.80,3.60,3.20,1
General Merchandisers,Retailing,BJ's Wholesale Club,1900,3.20,3.00,3.50,3.10,2.90,3.10,3.10,1
Specialty Retailers: Apparel,Retailing,L Brands,1100,4.00,3.90,4.20,3.50,3.30,4.00,3.70,1
"Automotive Retailing, Services",Retailing,Lithia Motors,395,3.70,3.80,4.10,3.50,3.60,3.60,3.80,1
Specialty Retailers,Retailing,Murphy USA,53,3.80,3.50,3.70,3.20,3.50,3.30,3.60,1
Internet Services and Retailing,Retailing,Expedia Group,4500,4.00,4.10,4.20,4.20,3.40,3.80,3.50,1
"Automotive Retailing, Services",Retailing,Group 1 Automotive,350,3.2,3.3,4.4,2.8,2.8,3,3.1,1
Specialty Retailers: Other,Retailing,Bed Bath & Beyond,4400,3.1,3.1,3.5,3,2.8,2.7,2.6,1
Specialty Retailers: Other,Retailing,AutoZone,3600,3.3,3.2,3.7,2.8,2.9,2.8,3.2,1
General Merchandisers,Retailing,J.C. Penney,9400,3.4,3.4,3.9,3.4,3,3.1,3,0
Specialty Retailers: Other,Retailing,ODP,5700,3.1,2.9,3.7,3.2,2.7,2.8,2.8,1
Computers,Technology,Apple,22000,4.3,4.3,4.4,3.6,3.8,4.3,3.9,1
Internet Services and Retailing,Technology,Alphabet,20000,4.5,4.4,4.3,4.3,4.1,4.6,4.3,1
Computer Software,Technology,Microsoft,31000,4.4,4.3,4.3,4.1,4,4.1,4.2,1
Computers,Technology,Dell Technologies,21000,4.1,4.1,4.2,4.2,3.7,3.9,3.8,1
Information Technology Services,Technology,IBM,68000,3.7,3.7,4.2,3.8,3.2,3.6,3.6,1
Semiconductors and Other Electronic Components,Technology,Intel,19000,4,3.9,4.3,3.9,3.3,3.9,3.8,1
Interactive Media and Services,Technology,Facebook,6900,4.3,4.2,4.2,3.7,4,4.7,4.4,1
Computers,Technology,HP,5200,4,4.2,4.3,4,3.5,3.6,3.6,1
Network and Other Communications Equipment,Technology,Cisco Systems,23000,4.1,4.2,4.1,4.1,3.7,4,3.8,1
Computer Software,Technology,Oracle,33000,3.6,3.2,3.6,3.8,3,3.5,3.4,0
Computers,Technology,Hewlett Packard Enterprise,13000,3.7,3.8,4.3,3.9,3.3,3.5,3.3,1
Medical Products and Equipment,Technology,Thermo Fisher Scientific,4900,3.7,3.6,3.8,3.4,3.3,3.5,3.6,1
Semiconductors and Other Electronic Components,Technology,Jabil,1800,3.4,3.2,3.4,3,3,3.3,3.2,1
Semiconductors,Technology,Qualcomm,7200,4.1,3.7,3.8,3.4,3.4,3.9,3.8,1
Semiconductors and Other Electronic Components,Technology,Micron Technology,3100,3.7,3.6,3.9,3,3.3,3.9,3.7,1
Semiconductors and Other Electronic Components,Technology,Broadcom,3100,3.4,2.7,3.3,3.2,2.9,3.9,2.8,1
Information Technology Services,Technology,DXC Technology,13000,2.8,2.7,3.5,3.3,2.6,2.7,2.6,1
Information Technology Services,Technology,CDW,2500,4.2,4.3,4.3,3.9,3.8,3.7,4.1,0
Computer Software,Technology,Salesforce,8700,4.4,4.5,4.4,4.2,4.2,4.5,4.3,1
Information Technology Services,Technology,Cognizant Technology Solutions,52000,3.5,3.3,3.5,3.2,2.9,3.2,3.4,1
Computers,Technology,Western Digital,2300,3.4,3.4,3.6,3.6,3,3.2,3.1,1
Internet Services and Retailing,Technology,Booking Holdings,4700,3.8,4.1,4.6,3.6,3.3,3.7,3.1,1
Semiconductors,Technology,Applied Materials,2100,4,3.7,4.1,3.4,3.4,3.7,3.8,1
Semiconductors,Technology,Texas Instruments,3400,4.2,4.1,4.2,3.8,3.7,4,3.9,1
Internet Services and Retailing,Technology,Uber Technologies,14000,3.8,3.5,4,3.9,3.2,3.5,3.5,1
Computer Software,Technology,Adobe,5600,4.4,4.4,4.5,4.3,4,4.4,3.9,1
Information Technology Services,Technology,Leidos Holdings,2300,3.9,3.8,4,3.9,3.5,3.7,3.7,1
Semiconductors,Technology,Nvidia,3200,4.8,4.7,4.5,4.3,4.6,4.6,4.6,1
Internet Services and Retailing,Technology,eBay,3900,4,4.1,4,4.1,3.5,4.1,3.9,1
Telecommunications,Telecommunications,AT&T,28000,3.6,3.3,4.1,3.2,2.9,4,3.4,1
Telecommunications,Telecommunications,Verizon Communications,23000,4,3.8,4.3,3.5,3.5,4.3,3.7,1
Entertainment,Telecommunications,Comcast,11000,3.9,3.8,4.2,3.7,3.5,4.1,3.7,1
Telecommunications,Telecommunications,Charter Communications,7700,3.3,2.9,3.8,2.9,2.8,3.8,3.3,1
Telecommunications,Telecommunications,Lumen Technologies,4900,3.2,3.1,3.6,3.5,2.8,3.3,3,1
Telecommunications,Telecommunications,DISH Network,5300,3.1,2.9,3.4,2.9,2.8,3,3.2,1
Delivery,Transportation,UPS,19000,3.6,3.2,3.9,3.2,3.1,4,3.6,0
Delivery,Transportation,FedEx,6600,3.7,3.6,4,3.5,3.3,3.6,3.7,1
Airlines,Transportation,Delta Air Lines,4000,4.5,4.4,4.5,4.1,4,4.4,4.2,1
Airlines,Transportation,American Airlines Group,41000,3.9,3.6,4.1,3.7,3.1,3.9,3.6,1
Airlines,Transportation,United Airlines Holdings,4200,4.1,3.9,4.3,3.8,3.5,4.2,3.9,1
Airlines,Transportation,Southwest Airlines,2700,4.6,4.6,4.5,4.2,4.1,4.5,4.3,1
"Trucking, Transportation, Logistics",Transportation,Union Pacific,2000,2,1.8,2.6,1.7,1.6,3.4,2,1
"Trucking, Transportation, Logistics",Transportation,XPO Logistics,3900,3.6,3.5,4,3.2,3.3,3.7,3.6,1
"Trucking, Transportation, Logistics",Transportation,C.H. Robinson Worldwide,2000,3.6,3.7,3.8,3.7,3.3,3.4,3.1,1
Railroads,Transportation,CSX,946,2.5,1.9,2.5,1.9,1.9,3.6,2.4,1
Railroads,Transportation,Norfolk Southern,1200,2.4,1.9,2.6,1.8,1.8,3.6,2.5,1
