"firmhash","firm","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index"
96185568,"Citigroup",125,4025,901,0.0337888199,19.1110559006
20224692,"Wells Fargo",78,2015,531,0.0377171216,15.6137303557
31743452,"Anthem",39,832,320,0.0384615385,13.1967948718
82475883,"Comcast",66,1478,438,0.0331529093,15.0198220363
60549119,"Phillips 66",70,2050,578,0.0365853659,17.5679442509
36053009,"Home Depot",419,7952,1171,0.0294265594,15.0511666659
4802185,"Bank of America",126,2751,590,0.0334423846,14.6948018902
59997007,"Fannie Mae",148,4145,878,0.0395657419,17.6683239331
1710396,"Marathon Petroleum",79,1905,541,0.0299212598,16.1967507226
56358397,"Microsoft",1735,37403,2692,0.034195118,13.0164005184
25821083,"Verizon Communications",48,859,313,0.0151338766,14.1897652309
69943097,"JPMorgan Chase",80,2191,595,0.0365130078,17.0709287996
26299420,"Cardinal Health",158,4527,1172,0.0265076209,18.0788288553
65966087,"Chevron",102,3083,819,0.0402205644,18.4476401264
46807785,"Costco Wholesale",248,5641,1107,0.0312001418,16.4729660721
82902726,"Cigna",138,3530,838,0.0362606232,16.3395327832
76661259,"Alphabet",263,6576,1507,0.024026764,16.6195257787
20885145,"AmerisourceBergen",136,3889,798,0.0344561584,17.5889167032
10087241,"AT&T",373,8345,1423,0.0321150389,14.90712038
23217707,"McKesson",100,2395,669,0.0350730689,15.8263465553
27610884,"UnitedHealth Group",97,2284,700,0.0499124343,15.7583115171
51333781,"Berkshire Hathaway",258,6175,1258,0.0312550607,17.0619025202
42703456,"CVS Health",119,3183,843,0.0333019164,16.8066054697
24788477,"Apple",172,3678,890,0.0396954867,14.0021017489
18843081,"Exxon Mobil",155,3738,869,0.0278223649,16.4094264658
18101757,"Amazon",129,3330,848,0.0282282282,16.6198756896
7268382,"Walmart",230,6002,1109,0.0349883372,17.5558883271
16364679,"Autodesk",181,4557,929,0.0351108185,16.7154406371
56410840,"Steelcase",93,2847,744,0.0252897787,17.8089126075
51796205,"Ciena",60,1426,531,0.03085554,16.9400467508
61513084,"Workday",134,3413,843,0.039554644,16.1769258017
47398118,"Gartner",202,5479,1128,0.038145647,17.6025620777
60310056,"Broadridge Financial Solutions",218,5354,1154,0.0332461711,17.6236290795
15981844,"Juniper Networks",158,4186,921,0.03870043,18.4331109727
36074314,"Leggett & Platt",67,1703,502,0.0358191427,16.2505464457
44287733,"Electronic Arts",2,12,12,0.0,9.0666666667
41605654,"CACI International",71,1884,554,0.0212314225,17.0259741036
3572700,"T. Rowe Price",217,5285,1141,0.032166509,16.9245277261
59882969,"Cerner",70,1650,517,0.0327272727,16.4103896104
15738094,"Simon Property Group",215,6365,1213,0.0356637863,17.1332980142
37755086,"Fortune Brands Home & Security",120,1536,402,0.0481770833,9.416875
92978594,"Robert Half International",156,4131,958,0.0351004599,16.8087201832
236748,"Apache",109,3478,788,0.040253019,19.3647978644
59605839,"Activision Blizzard",262,7264,1204,0.0331773128,17.4997679658
28480392,"Booz Allen Hamilton Holding",103,3427,804,0.0388094543,20.3352917013
81900002,"Intuit",404,8342,1240,0.0384799808,15.192995008
36469379,"Northern Trust",75,690,245,0.0289855072,9.8249275362
78132452,"Quest Diagnostics",105,2044,747,0.030332681,13.8140639269
58511130,"Motorola Solutions",259,8095,1496,0.0317479926,19.6767297607
74239827,"Raymond James Financial",109,2422,865,0.0218827415,19.0449685225
77729631,"Ryder System",101,3099,740,0.0338818974,18.9334802987
84510021,"Wayfair",969,29733,2537,0.0287222951,17.6212777934
92983493,"J.B. Hunt Transport Services",126,2920,804,0.0308219178,15.7218960644
29389813,"Jones Financial (Edward Jones)",193,6589,927,0.0251935043,21.0683124724
15561662,"Lam Research",30,702,287,0.0270655271,16.1976068376
31030789,"Fiserv",229,6775,1305,0.0383763838,18.7181939767
75178419,"Liberty Media",15,335,172,0.0447761194,16.9333333333
21406197,"Henry Schein",15,235,167,0.0170212766,16.1390070922
