"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","reputation_score_growth","n_sentence","number_of_words","number_of_unique_words","ambiquity_score","gunning_fog_index","n_data_breaches","last_available_year","date_of_incorporation","stock_turnover","age_in_years","return_on_assets","number_of_reviews","rating_overall_employer","values_culture","diversity_inclusion","work_balance_life","management_senior","compensation_benefits","opportunities_career","female_male","number_of_shareholder_proposals","privacy_exists_policy","of_a_existence_report_transparency","option_contact","legislation_complied_with","third_party_sharing","protection_of_data_a_existence_officer","type_iso","privacy_url_policy"
17155719,"Farmers Insurance Exchange","https://www.farmers.com",255,"Insurance: Property and Casualty (Mutual)","Financials",12592.5,55.3,"",10980,"","","",127.0,3156.0,745.0,0.036121673,22.1454806742,1,"","","","","",3900,3.7,3.7,4.1,3.6,3.4,3.6,3.6,"1","",1,0.0,1.0,"standard ",1.0,1.0,0.0,"https://www.farmers.com/privacy-statement/"
73704178,"American Family Insurance Group","https://www.amfam.com",254,"Insurance: Property and Casualty (Stock)","Financials",12633.2,455.9,"",13531,"","","",122.0,2879.0,927.0,0.0211879125,24.3750858392,0,"","","","","",1300,3.6,3.7,3.8,3.7,3.1,4.0,3.2,"1","",1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.amfam.com/privacy-security"
54218658,"DTE Energy","https://www.dteenergy.com",253,"Utilities: Gas and Electric","Energy",12669.0,1169.0,18289.5,10700,"","","",5.0,62.0,50.0,0.0161290323,11.4116129032,0,2020.0,"1995-01-26",17.01,26.3,0.028385,638,4.2,4.1,4.1,3.9,3.5,4.3,3.9,"1",1.0,1,0.0,0.0,"standard",0.0,0.0,0.0,"https://newlook.dteenergy.com/wps/wcm/connect/dte-web/quicklinks/footer/customer+data+privacy+policy"
17151193,"Lithia Motors","https://www.lithiainvestorrelations.com",252,"Automotive Retailing, Services","Retailing",12672.7,271.5,1910.0,14320,"","","",151.0,3396.0,746.0,0.035041225,19.9265329683,0,2020.0,"1968-12-23",5.27,52.5,0.063286,395,3.7,3.8,4.1,3.5,3.6,3.6,3.8,"1","",1,0.0,1.0,"standard",1.0,0.0,0.0,"na"
61240936,"DISH Network","https://www.dish.com",251,"Telecommunications","Telecommunications",12807.7,1399.5,10455.8,16000,"","","",185.0,3767.0,731.0,0.03530661,20.3349365399,0,2020.0,"1995-04-26",40.74,26.0,0.051402,5300,3.1,2.9,3.4,2.9,2.8,3.0,3.2,"1","",1,0.0,0.0,"standard",1.0,1.0,0.0,"https://my.dish.com/privacy-policy"
99140308,"L Brands","https://www.lb.com",248,"Specialty Retailers: Apparel","Retailing",12914.2,366.4,3196.7,59950,"5.63","5.42",0.038745387453874534,251.0,4666.0,982.0,0.027218174,21.5807344134,1,2020.0,"1982-03-16",9.31,39.2,0.107969,1100,4.0,3.9,4.2,3.5,3.3,4.0,3.7,"1",2.0,1,0.0,1.0,"standard",1.0,1.0,0.0,"https://www.lb.com/communication/privacy-policy"
27717375,"Ameriprise Financial","https://www.ameriprise.com",245,"Diversified Financials","Financials",13103.0,1893.0,12601.8,12500,"","","",45.0,699.0,270.0,0.0286123033,19.1460944206,2,2020.0,"1995-01-01",9.53,26.4,0.010622,2200,3.9,4.0,4.3,4.0,3.7,3.5,3.7,"1","",1,0.0,0.0,"standard",1.0,1.0,0.0,"https://www.ameriprise.com/binaries/content/assets/ampcom/ucm/p-038885.pdf"
52807078,"State Street","https://www.statestreet.com",244,"Superregional Banks","Financials",12078.0,2420.0,27066.0,38979,"","","",126.0,3144.0,901.0,0.0267175573,23.9758633224,0,2020.0,"1959-09-21",35.19,61.7,0.008637,6100,3.1,2.9,3.5,3.4,2.7,2.9,2.8,"1",1.0,1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.statestreet.com/utility/privacy-notice.html"
60132111,"BJ's Wholesale Club","https://www.bjs.com",243,"General Merchandisers","Retailing",14956.0,367.0,5720.0,27231,"","","",109.0,3727.0,789.0,0.0316608532,24.3880918564,1,2020.0,"2011-06-24",12.8,9.8,0.075177,1900,3.2,3.0,3.5,3.1,2.9,3.1,3.1,"1","",1,0.0,0.0,"standard",1.0,0.0,0.0,"https://www.bjs.com/content?template=B&espot_main=about_privacy"
18880252,"Kinder Morgan","https://www.kindermorgan.com",242,"Pipelines","Energy",13209.0,2190.0,31529.7,11086,"","","",10.0,142.0,95.0,0.014084507,24.2715492958,0,2020.0,"2006-08-23",33.62,14.7,0.02987,579,3.5,3.2,3.6,3.4,3.2,3.7,3.3,"1","",1,0.0,0.0,"standard",0.0,0.0,0.0,"https://pipeportal.kindermorgan.com/PortalUI/PrivacyPolicy.aspx?TSP=SNGD"
78768752,"Community Health Systems","https://www.chs.net",241,"Health Care: Medical Facilities","Health Care",13210.0,675.0,393.6,71500,"","","",82.0,1646.0,485.0,0.0261239368,18.9162670776,1,2020.0,"1996-06-06",35.19,24.9,0.040172435,1100,3.2,2.8,3.3,3.0,2.6,3.1,3.0,"1","",1,0.0,0.0,"standard",1.0,1.0,0.0,"https://www.chs.net/privacy_statement/"
9911099,"Qurate Retail","https://www.qurateretail.com",239,"Internet Services and Retailing","Retailing",13458.0,456.0,2539.6,25314,"","","",17.0,312.0,174.0,0.0480769231,22.2129713424,0,2020.0,"2006-02-28",10.9,15.2,0.057281,33,3.5,4.0,4.3,4.0,3.8,3.6,3.2,"1","",1,0.0,0.0,"standard ",1.0,0.0,0.0,"http://qurateretail.com/privacy.html"
52856789,"Guardian Life Ins. Co. of America","https://www.guardianlife.com",238,"Insurance: Life, Health (Mutual)","Financials",13476.7,679.8,"",9032,"","","",151.0,4677.0,952.0,0.0387000214,24.7905157973,0,"","","","","",844,3.8,3.7,4.0,3.9,3.2,3.8,3.4,"1","",1,0.0,1.0,"standard",1.0,1.0,1.0,"https://www.guardianlife.com/guardian-privacy-statement"
