"firmhash","firm","sector","reputation_score_2020","composite_relational_ig_practises","composite_formal_ig_practises","return_on_assets","log_n_employees","csr_index","logmin_n_data_breaches","sqrt_age_in_years","dummy_sector_Health Care","dummy_sector_Technology","dummy_sector_Media","dummy_sector_Energy","dummy_sector_Financials","dummy_sector_Retailing","dummy_sector_Industrials","dummy_sector_Business Services","dummy_sector_Household Products","dummy_sector_Transportation","dummy_sector_Telecommunications","young_firm"
43863760,"Visa","Business Services",7.86,0.4938338479214214,0.25,0.112382,9.9281801651265,0.0173801507,0.0,3.794733192202055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1
53578149,"Penske Automotive Group","Retailing",6.41,0.504167655820821,0.25,0.029353,10.203592144986466,-0.0037518038,0.0,5.522680508593631,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
56444265,"Amgen","Health Care",6.66,0.5699345005569737,0.5,0.095063,10.060491301345794,0.0714678255,0.0,5.882176467941097,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
28580986,"Qualcomm","Technology",6.53,0.47215768326112506,0.25,0.136758,10.621327345686446,0.0663542928,0.0,5.458937625582473,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
78257680,"Duke Energy","Energy",6.46,0.38686216870805634,0.25,0.021612,10.267887581025693,0.0256124981,1.3862943611198906,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
40232297,"Thermo Fisher Scientific","Technology",6.55,0.43112626355604977,0.5,0.077275,11.225243392518447,0.0241955682,0.0,7.791020472312982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
59306024,"Paccar","Industrials",6.62,0.47581268012403893,0.25,0.035724,10.203592144986466,0.0042991491,0.6931471805599453,7.042726744663604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
44470487,"Bristol-Myers Squibb","Health Care",6.63,0.4100839860453276,0.25,0.039,10.308952660644293,0.0629975176,0.0,9.38083151964686,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
56327554,"Dollar General","Retailing",5.63,0.3337956285901875,0.25,0.091333,11.870599909242044,-0.0202020202,0.6931471805599453,4.795831523312719,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
38807133,"Hewlett Packard Enterprise","Technology",5.97,0.4394554502382403,0.5,0.020294,10.992049505350737,0.0967446772,0.6931471805599453,2.4899799195977463,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
81079250,"Abbott Laboratories","Health Care",7.18,0.40315742996284165,0.5,0.049426,11.580584113444043,0.0719247759,0.0,11.022703842524301,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
98041190,"Northwestern Mutual","Financials",6.34,0.44826012648684066,0.25,0.023612,8.69349667588463,-0.0019206847,1.0986122886681098,12.83744522870497,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
69795220,"AbbVie","Health Care",6.46,0.38149123113624045,0.25,0.081874,10.757902880692196,0.0468474328,0.0,3.0166206257996713,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
65808664,"Capital One Financial","Financials",6.29,0.42090619202099455,0.25,0.006692,10.858998997563564,0.0190067985,1.6094379124341003,5.1478150704935,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
38940501,"Exelon","Energy",6.2,0.4142697543293392,0.0,0.0212,10.395527831398702,0.0651473686,0.0,4.722287581247038,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10238564,"ConocoPhillips","Energy",6.73,0.40841286814695066,0.0,-0.015285,9.190137664658664,0.0240995063,0.0,4.415880433163924,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
99007911,"Honeywell International","Industrials",7.3,0.4463981179777926,0.25,0.067476,11.635143097694478,0.0204311865,0.0,4.636809247747852,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
10940099,"Progressive","Financials",6.68,0.6072726507610835,0.25,0.077622,10.635158087766825,0.0207389615,0.0,9.197825830053535,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
71942107,"Deere","Industrials",8.4,0.4829183911780276,0.25,0.047326,11.151008232789549,0.0403517938,0.0,7.9498427657407165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
24984086,"TJX","Retailing",6.15,0.3951503041791067,0.0,0.001597,12.56374708980199,0.0473840761,0.0,7.694153624668538,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
60987513,"Best Buy","Retailing",7.39,0.43723960549192875,0.25,0.093304,11.736069016284437,0.0694581281,1.0986122886681098,7.395944834840239,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
77223592,"Allstate","Financials",6.66,0.4566863200577822,0.5,0.043308,10.737157255721947,0.0464917373,0.6931471805599453,9.518403227432634,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11663411,"Merck","Health Care",7.45,0.3752398239164828,0.5,0.032177,11.170435156023453,0.0877939493,0.0,7.134423592694787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
33131762,"Delta Air Lines","Transportation",6.89,0.3541066243939842,0.25,-0.084231,11.407564949312402,0.0189962018,1.0986122886681098,7.368853370776216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
39511968,"American Express","Financials",6.76,0.4531822784567383,0.25,0.016089,11.06663836234181,0.0175193693,1.6094379124341003,13.099618315050252,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17081064,"HCA Healthcare","Health Care",6.83,0.49180878445056675,0.0,0.097273,12.409013489526863,0.0115620491,0.0,3.255764119219941,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
89802512,"Pfizer","Health Care",6.52,0.4133673446250168,0.5,0.039342,11.388495386592052,0.0261872419,0.0,8.893818077743664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
93968555,"Cisco Systems","Technology",6.55,0.7172437187676899,0.5,0.091162,11.258033215341438,0.1136123136,0.6931471805599453,0.5477225575051661,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
81280069,"Caterpillar","Industrials",8.08,0.47203100376249785,0.25,0.039522,11.535664951939717,0.0293045396,0.0,5.932958789676531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1
