"firmhash","firm","url","ranking","industry","sector","revenue_in_millions","profits_in_millions","market_value_in_millions","n_employees","reputation_score_2020","reputation_score_2019","include","ranklabel"
12765079,"United Natural Foods","https://www.unfi.com",133,"Wholesalers: Food and Grocery","Wholesalers",23481.1,285.0,492.2,19000,"","",False,"1-200"
70488772,"Cummins","https://www.cumminseurope.com/",132,"Industrial Machinery","Industrials",19559.0,1588.0,35008.0,61615,"","",True,"1-200"
24832322,"Dollar Tree","https://www.dollartree.com",131,"Specialty Retailers: Other","Retailing",23610.8,827.0,17398.5,125000,"","",True,"1-200"
11294733,"Synnex","https://www.synnexcorp.com",130,"Wholesalers: Electronics and Office Equipment","Wholesalers",24676.0,530.0,4629.0,252000,6.39,"",False,"1-200"
20094071,"Baker Hughes","https://www.bakerhughes.com",129,"Oil and Gas Equipment, Services","Energy",23838.0,128.0,10827.3,68000,"","",True,"1-200"
97012135,"CBRE Group","https://www.cbre.com",128,"Real Estate","Financials",24036.0,1076.0,21772.0,100000,6.91,6.65,True,"1-200"
57980856,"NGL Energy Partners","https://www.nglenergypartners.com",127,"Pipelines","Energy",24087.8,360.0,333.7,1300,"","",True,"1-200"
28580986,"Qualcomm","https://www.qualcomm.com",126,"Semiconductors","Technology",23531.0,5198.0,186163.0,41000,6.53,6.46,True,"1-200"
63338445,"PBF Energy","https://www.pbfenergy.com",125,"Petroleum Refining","Energy",24508.2,319.4,848.1,3442,"","",True,"1-200"
44154179,"Tesla","https://www.tesla.com",124,"Motor Vehicles","Motor Vehicles & Parts",31536.0,721.0,806143.0,48016,5.5,"",False,"1-200"
78257680,"Duke Energy","https://www.duke-energy.com",123,"Electric and Gas Utilities","Energy",23773.0,2114.0,66815.0,28793,6.46,5.95,True,"1-200"
3730137,"Kraft Heinz","https://www.kraftheinzcompany.com",122,"Food Consumer Products","Food, Beverages & Tobacco",24977.0,1935.0,30226.3,37000,"","",False,"1-200"
85363982,"Jabil","https://www.jabil.com",121,"Semiconductors and Other Electronic Components","Technology",25282.3,287.1,3738.4,200000,"","",True,"1-200"
82017061,"Macy’s","https://www.macysinc.com",120,"General Merchandisers","Retailing",25331.0,564.0,1520.4,123000,"","",True,"1-200"
40232297,"Thermo Fisher Scientific","https://www.thermofisher.com",119,"Medical Products and Equipment","Technology",28497.0,4879.0,204446.0,75000,6.55,6.06,True,"1-200"
59306024,"Paccar","https://www.paccar.com",118,"Construction and Farm Machinery","Industrials",18729.0,1298.0,30969.0,27000,6.62,"",True,"1-200"
35096671,"Mondelez International","https://www.mondelezinternational.com",117,"Consumer Food Products","Food, Beverages & Tobacco",26581.0,3555.0,81663.0,80000,"","",False,"1-200"
23177341,"US Foods Holding","https://www.usfoods.com",116,"Wholesalers: Food and Grocery","Wholesalers",25939.0,385.0,4472.0,28000,"","",False,"1-200"
44470487,"Bristol-Myers Squibb","https://www.bms.com",115,"Pharmaceuticals","Health Care",39395.0,44.0,149709.0,30000,6.63,6.84,True,"1-200"
54278382,"Starbucks","https://www.starbucks.com",114,"Food Services","Hotels, Restaurants & Leisure",23170.0,665.0,123779.0,349000,7.92,7.87,False,"1-200"
31261614,"U.S. Bancorp","https://www.usbank.com",113,"Superregional Banks","Financials",25241.0,4959.0,68690.0,70000,7.63,7.61,True,"1-200"
56327554,"Dollar General","https://www.dollargeneral.com",112,"Specialty Retailers","Retailing",27754.0,1712.6,47928.0,143000,5.63,"",True,"1-200"
70275980,"ViacomCBS","https://www.viacbs.com",111,"Entertainment","Media",27812.0,3308.0,16130.0,26280,"","",True,"1-200"
98056061,"Arrow Electronics","https://www.arrow.com",110,"Wholesalers: Electronics and Office Equipment","Wholesalers",27558.0,461.0,8075.0,19300,7.22,7.08,False,"1-200"
38807133,"Hewlett Packard Enterprise","https://www.hpe.com",109,"Computers","Technology",26982.0,322.0,15962.0,59400,5.97,5.51,True,"1-200"
60524191,"Raytheon","https://www.rtx.com",108,"Aerospace & Defense","Aerospace & Defense",29176.0,3343.0,36517.5,70000,7.65,7.77,False,"1-200"
99523207,"Philip Morris International","https://www.pmi.com",107,"Tobacco","Food, Beverages & Tobacco",29805.0,7185.0,119615.0,73500,"","",False,"1-200"
42046784,"Travelers Cos.","https://www.travelers.com",106,"Insurance: Property and Casualty","Financials",31981.0,2697.0,36735.0,30000,6.83,6.71,True,"1-200"
75492574,"CHS","https://www.chsinc.com",105,"Food Production","Food, Beverages & Tobacco",31901.0,829.9,"",10703,"","",False,"1-200"
81079250,"Abbott Laboratories","https://www.abbott.com",104,"Medical Products and Equipment","Health Care",34608.0,4495.0,200082.0,107000,7.18,6.86,True,"1-200"
52892159,"3M","https://www.3m.com",103,"Chemicals","Chemicals",32184.0,5384.0,98187.0,96163,7.04,7.43,False,"1-200"
98041190,"Northwestern Mutual","https://www.northwesternmutual.com",102,"Insurance: Life and Health","Financials",32294.0,1268.0,"",5964,6.34,6.29,True,"1-200"
48682231,"Enterprise Products Partners","https://www.enterpriseproducts.com",101,"Pipelines","Energy",32789.0,4591.3,38472.0,7300,"","",True,"1-200"
45830312,"StoneX Group","https://www.stonex.com",100,"Diversified Financials","Financials",50617.0,99.0,988.0,2012,"","",True,"1-200"
69795220,"AbbVie","https://www.abbvie.com",99,"Pharmaceuticals","Health Care",40650.0,7381.0,198828.0,47000,6.46,6.49,True,"1-200"
9953010,"Plains GP Holdings","https://www.plainsallamerican.com",98,"Pipelines","Energy",33669.0,331.0,1463.0,5000,"","",True,"1-200"
