"firmhash","firm","url","ranking","industry","sector","reputation_score","include","ranklabel"
70913785,"Acuity Brands","https://www.acuitybrands.com",671,"Electronics, Electrical Equip.","Industrials","",True,"501-1000"
38097002,"Sentry Insurance Group","https://www.sentry.com",670,"Insurance: Property and Casualty (Mutual)","","",False,"501-1000"
76091690,"Brink's","https://www.brinks.com",669,"Diversified Outsourcing Services","Business Services","",True,"501-1000"
14764920,"iHeartMedia","https://www.iheartmedia.com",668,"Entertainment","Media","",True,"501-1000"
91406886,"Penn Mutual Life Insurance","https://www.pennmutual.com",667,"Insurance: Life, Health (stock)","","",False,"501-1000"
63587918,"Laureate Education","https://www.laureate.net",666,"Education","Business Services","",True,"501-1000"
66607090,"Lamb Weston Holdings","https://www.lambweston.com",665,"Food Consumer Products","Food, Beverages & Tobacco","",False,"501-1000"
10873291,"Worthington Industries","https://www.worthingtonindustries.com",664,"Metals","Materials","",False,"501-1000"
1978476,"Amerco","https://www.amerco.com",663,"Trucking, Truck Leasing","Transportation","",True,"501-1000"
23065840,"Paychex","https://www.paychex.com",662,"Financial Data Services","Business Services","6.56",True,"501-1000"
20280705,"Timken","https://www.timken.com",661,"Industrial Machinery","Industrials","",True,"501-1000"
37521368,"Lennox International","https://www.lennoxinternational.com",660,"Industrial Machinery","Industrials","",True,"501-1000"
30540041,"Comerica","https://www.comerica.com",659,"Commercial Banks","","",False,"501-1000"
49740120,"Spirit Airlines","https://www.spirit.com",658,"Airlines","Transportation","",True,"501-1000"
24789965,"TriNet Group","https://www.trinet.com",657,"Diversified Outsourcing Services","Business Services","",True,"501-1000"
51696557,"Country Financial","https://www.countryfinancial.com",656,"Insurance: Property and Casualty (Mutual)","","",False,"501-1000"
40233736,"Ventas","https://www.ventasreit.com",655,"Real estate","","",False,"501-1000"
89053299,"ScanSource","https://www.scansource.com",654,"Wholesalers: Electronics and Office Equipment","Wholesalers","6.33",False,"501-1000"
